,width,flickr_640_url,license,file_name,date_captured,coco_url,flickr_url,id,height
0,3000,https://farm66.staticflickr.com/65535/49042991957_9f126bcb87_z.jpg,CC,unofficial/000000.jpg,,,https://farm66.staticflickr.com/65535/49042991957_4c884f303a_o.png,0,4000
1,3000,https://farm66.staticflickr.com/65535/49042714631_9a9f1fc434_z.jpg,CC,unofficial/000001.jpg,,,https://farm66.staticflickr.com/65535/49042714631_f8123b11ce_o.png,1,4000
2,4160,,ODBL (c) OpenLitterMap & Contributors,unofficial/000002.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/04/16/ZGEyczsylHpxtQg4BZ20lIZwuYRKmrPUfAnTExY9.jpeg,2,3120
3,1536,,ODBL (c) OpenLitterMap & Contributors,unofficial/000003.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/04/10/WCGrgrqVxbuK5S8THiawXwv8hcXwc9CGbSNeYNFd.jpeg,3,2048
4,4032,,ODBL (c) OpenLitterMap & Contributors,unofficial/000004.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/10/27/bWpIxxjUtOM93pmoVlG90IqnULV9VPyCh9EZwOet.jpeg,4,3024
5,4160,,ODBL (c) OpenLitterMap & Contributors,unofficial/000005.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/04/16/fFl3bolj5A3LdXLDzT6oftzV6feYUaNyNHIwtB3D.jpeg,5,3120
6,3264,,ODBL (c) OpenLitterMap & Contributors,unofficial/000006.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/08/23/Ngb7nXjJw701CT6NLjNFprRzA2C26nbyq3zmaMcV.jpeg,6,2448
7,3000,https://farm66.staticflickr.com/65535/49042641481_793b83959e_z.jpg,CC,unofficial/000007.jpg,,,https://farm66.staticflickr.com/65535/49042641481_1d5e9d05f2_o.png,7,4000
8,3024,https://farm66.staticflickr.com/65535/51619481358_cbcaffe27d_z.jpg,CC,unofficial/000008.jpg,,,https://farm66.staticflickr.com/65535/51619481358_2b3006b969_o.png,8,4032
9,3492,,ODBL (c) OpenLitterMap & Contributors,unofficial/000009.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/10/23/LARpGai3xtM112CBubsfoPBkouNOYmPWiTL7xsV6.jpeg,9,4656
10,1824,,ODBL (c) OpenLitterMap & Contributors,unofficial/000010.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/10/11/XpRiaN9C1vVaBlwXUtpgfTNsMSXZWd60IHWsI18o.jpeg,10,4000
11,3024,,ODBL (c) OpenLitterMap & Contributors,unofficial/000011.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/700/vXmriCPgXXoNK40lvdwhHTgDGaS08ixwxnqT26sh.jpeg,11,4032
12,4656,,ODBL (c) OpenLitterMap & Contributors,unofficial/000012.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/10/23/SjstpcqrFCHcWZ1FtFeqZ4FMwfjfzoqxKWyNueOd.jpeg,12,3492
13,3120,,ODBL (c) OpenLitterMap & Contributors,unofficial/000013.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/12/25/GWcUCYnqcvzdm2qmrlJo6QVhQpYrFVgiXTZdcghn.jpeg,13,4160
14,546,https://farm66.staticflickr.com/65535/50833396808_3ee140c996_z.jpg,CC,unofficial/000014.jpg,,,https://farm66.staticflickr.com/65535/50833396808_b93e814cf7_o.png,14,417
15,3024,,ODBL (c) OpenLitterMap & Contributors,unofficial/000015.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/03/09/J6p8IeNMzTDCK5rWss3U6e3Jiw8MXa2NyFEKxZji.jpeg,15,4032
16,4000,https://farm66.staticflickr.com/65535/49578682991_f89ebdc36b_z.jpg,CC,unofficial/000016.jpg,,,https://farm66.staticflickr.com/65535/49578682991_26ffcb48c5_o.png,16,3000
17,3024,,ODBL (c) OpenLitterMap & Contributors,unofficial/000017.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/04/18/KsLZrRfbMJjCffcpVGtTHKLFIDUYPULb57HQ7eSl.jpeg,17,4032
18,1824,https://farm66.staticflickr.com/65535/48726660328_7d01fd7e3b_z.jpg,CC,unofficial/000018.jpg,,,https://farm66.staticflickr.com/65535/48726660328_a3d02985b3_o.png,18,4000
19,3000,https://farm66.staticflickr.com/65535/49578178503_3e4214fd2c_z.jpg,CC,unofficial/000019.jpg,,,https://farm66.staticflickr.com/65535/49578178503_41a3cda95c_o.png,19,4000
20,3000,https://farm66.staticflickr.com/65535/52223789302_5f0aca7847_z.jpg,CC,unofficial/000020.jpg,,,https://farm66.staticflickr.com/65535/52223789302_b257f82e1c_o.png,20,4000
21,4032,,ODBL (c) OpenLitterMap & Contributors,unofficial/000021.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/764/0pNNLXRD7adIK9CkRnvTwNungkyFNyZJHn5iEKIg.jpeg,21,3024
22,2988,,ODBL (c) OpenLitterMap & Contributors,unofficial/000022.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/03/31/g8TK2yWuewvP09V9R64K2gJaaKdoXWFMLmldOT15.jpeg,22,5312
23,3024,,ODBL (c) OpenLitterMap & Contributors,unofficial/000023.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/700/92odMY4oB0GWd2OR3uwbHRRdiNwNdlf4cwRL9fkg.jpeg,23,4032
24,3024,,ODBL (c) OpenLitterMap & Contributors,unofficial/000024.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/764/IPDxqoHWDPpmwpcmCdua1sbWbpwJVQZoJPk3XOWV.jpeg,24,4032
25,1824,https://farm66.staticflickr.com/65535/48694146381_007795ee78_z.jpg,CC,unofficial/000025.jpg,,,https://farm66.staticflickr.com/65535/48694146381_8da796d395_o.png,25,4000
26,3000,https://farm66.staticflickr.com/65535/48795128347_ca8c936a00_z.jpg,CC,unofficial/000026.jpg,,,https://farm66.staticflickr.com/65535/48795128347_1da70075f0_o.png,26,4000
27,807,https://farm66.staticflickr.com/65535/51619240506_17d6d2031c_z.jpg,CC,unofficial/000027.jpg,,,https://farm66.staticflickr.com/65535/51619240506_40afc1596c_o.png,27,458
28,3264,,ODBL (c) OpenLitterMap & Contributors,unofficial/000028.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/07/02/KvtofSYUhydhEpRUosinlsn17NTmt2JDZ7bzFuLi.jpeg,28,2448
